strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
hCoV-19/Iran/BK1026/2022	EPI_ISL_18050457		Kermanshah University of Medical Sciences	COVID-19 National Reference Laboratory, Pasteur Institute of Iran	Ali Maleki et al
hCoV-19/SouthAfrica/NHLS-UCT-GS-BJ81/2022	EPI_ISL_13183599	OP053431.1	Groote Schuur Hospital wc GSH	NHLS/UCT	Arash Iranzadeh et al
hCoV-19/Ghana/NMIMR-CT-22-2072/2022	EPI_ISL_16276032		Noguchi Memorial Institute for Medical Research, University of Ghana, Legon, Ghana	Noguchi Memorial Institute for Medical Research, University of Ghana, Legon, Ghana	Quaneeta Mohktar et al
hCoV-19/PuertoRico/PR-ASC-210777495/2022	EPI_ISL_14955175		Aegis Sciences Corporation	Aegis Sciences Corporation	Cyndi Clark et al
hCoV-19/BurkinaFaso/CHUSS_16063/2022	EPI_ISL_19101222		Laboratoire de Microbiologie CHU Souro Sanou	Laboratoire de Virologie, Hôpital Bichat Claude Bernard	Anna-Maria Franco-Yusti et al
hCoV-19/Netherlands/FR-RIVM-112023/2022	EPI_ISL_15177328		National Institute for Public Health and the Environment (RIVM)	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Mozambique/INS-PCS0026910/2022	EPI_ISL_16086285		Biotechnology and Genetics Laboratory - Instituto Nacional de Saúde	Biotechnology and Genetics Laboratory - Instituto Nacional de Saúde	Sofia Viegas et al
hCoV-19/Brazil/SC-NVBS24645GENOV044922989784/2022	EPI_ISL_15685152		DASA	DASA	Rodrigo Guarischi et al
hCoV-19/Chile/AN-79471/2022	EPI_ISL_13736739		Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile	Constanza Campano et al
hCoV-19/USA/GA-CDC-STM-EPYUU3A2N/2022	EPI_ISL_14076144	OP078204.1	Helix	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/Brazil/SP-NVBS24430GENOV829798863044/2022	EPI_ISL_15685193		DASA	DASA	Rodrigo Guarischi et al
hCoV-19/Zimbabwe/77832/2022	EPI_ISL_16724331		National Microbiology Reference Laboratory	National Microbiology Reference Laboratory	Air Comodore Dr. J Chimedza et al
hCoV-19/Mozambique/INS-PCS0028060/2022	EPI_ISL_16184284		Biotechnology and Genetics Laboratory - Instituto Nacional de Saúde	Biotechnology and Genetics Laboratory - Instituto Nacional de Saúde	Sofia Viegas et al
hCoV-19/Beijing/BJCDC-2423/2022	EPI_ISL_16641919		Beijing Center for Disease Control and Prevention	Beijing Center for Disease Control and Prevention	Shujuan Cui et al
hCoV-19/Zambia/39015/2022	EPI_ISL_14215901		CIDRZ Central Lab	CIDRZ Central Lab	INNOCENT MWAPE et al
hCoV-19/DRC/INRB-RDC-0124/2022	EPI_ISL_17190905		Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)	Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al A
hCoV-19/Ethiopia/BETin-S13/2022	EPI_ISL_18828855		Bio and Emerging Technology Institute	Bio and Emerging Technology Institute	Bitew et al
hCoV-19/Ethiopia/EPHI-3372-08/2022	EPI_ISL_19147657		Ethiopian Public Health Institute, AHRI	Ethiopian Public Health Institute, AHRI	Hailu et al
hCoV-19/Angola/CERI-KRISP-K050843/2022	EPI_ISL_16567300		GPSL	CERI, Centre for Epidemic Response and Innovation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Morais J et al
hCoV-19/Tianjin/TJCDC-0954/2022	EPI_ISL_16922426		Tianjin Centers for Disease Control and Prevention	Tianjin Centers for Disease Control and Prevention	Li Xiaoyan et al
hCoV-19/Thailand/DMSc-13964/2022	EPI_ISL_16833492		Bumrungrad International Hospital	Medical Genomic Centre,Medical Life Sciences Institute,Department of Medical Sciences, Ministry of Public Health, Thailand	Surakameth Mahasirimongkol et al
hCoV-19/Ethiopia/BETIN-21356071970/2022	EPI_ISL_18904527		Health Biotechnology, Bio and Emerging Technology Institute	Health Biotechnology, Bio and Emerging Technology Institute	Bitew et al
hCoV-19/Ethiopia/BETin-S2/2022	EPI_ISL_18828873		Bio and Emerging Technology Institute	Bio and Emerging Technology Institute	Bitew et al
hCoV-19/Ethiopia/EPHI-1087-07/2022	EPI_ISL_19147643		Ethiopian Public Health Institute, AHRI	Ethiopian Public Health Institute, AHRI	Hailu et al
hCoV-19/Ethiopia/BETIN-21356071822/2022	EPI_ISL_18904543		Health Biotechnology, Bio and Emerging Technology Institute	Health Biotechnology, Bio and Emerging Technology Institute	Bitew et al
hCoV-19/Ethiopia/EPHI-3426-08/2022	EPI_ISL_19147665		Ethiopian Public Health Institute, AHRI	Ethiopian Public Health Institute, AHRI	Hailu et al
hCoV-19/Ethiopia/EPHI-3290-07/2022	EPI_ISL_19147618		Ethiopian Public Health Institute, AHRI	Ethiopian Public Health Institute, AHRI	Hailu et al
hCoV-19/DRC/INRB-RDC-776/2022	EPI_ISL_14404659		Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)	Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al A
hCoV-19/Israel/ICH-741230587/2022	EPI_ISL_13428710		Clinical Microbiology Laboratory, Tel Aviv Sourasky Medical Center	Clinical Microbiology Laboratory, Tel Aviv Sourasky Medical Center	Orly Eshel et al
hCoV-19/DRC/INRB-RDC-952/2022	EPI_ISL_13825162		Laboratoire Rodolphe Mérieux (INRB Goma)	Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al A
hCoV-19/Nigeria/BCVL_GHRU_36000_S5/2022	EPI_ISL_15482709		Biorepository Clinical Virology Laboratory, College of Medicine	Global Health Research Unit for the Genomic Surveillance of Antimicrobial Resistance, University of Ibadan	Fowotade AA et al
hCoV-19/Mexico/CMX-INMEGEN-76-8/2022	EPI_ISL_13439065		SALUD DIGNA	Instituto Nacional de Medicina Genomica	Cedro-Tanda A et al
hCoV-19/DRC/INRB-RDC-968/2022	EPI_ISL_14404653		Laboratoire Rodolphe Mérieux (INRB Goma)	Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al A
hCoV-19/DRC/INRB-RDC-1082/2022	EPI_ISL_14815686		Laboratoire Rodolphe Mérieux (INRB Goma)	Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al A
hCoV-19/Mozambique/INS-PTC0089689/2022	EPI_ISL_14612168		Biotechnology and Genetics Laboratory - Instituto Nacional de Saúde	Biotechnology and Genetics Laboratory - Instituto Nacional de Saúde	Sofia Viegas et al
hCoV-19/DRC/INRB-RDC-1106/2022	EPI_ISL_14815703		Laboratoire Rodolphe Mérieux (INRB Goma)	Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al A
hCoV-19/Zambia/CHAZ-CHS2332/2022	EPI_ISL_15233883		CHAZ Laboratory	CHAZ Laboratory	Shempela. D et al
hCoV-19/Pakistan/PB-PPHRL-PACP-143/2022	EPI_ISL_14846549		Provincial Public Health Reference Lab, Punjab AIDS Control Program, Lahore	Provincial Public Health Reference Lab, Punjab AIDS Control Program, Lahore	Hasnain Javed et al
hCoV-19/Pakistan/PB-PPHRL-PACP-140/2022	EPI_ISL_14846543		Provincial Public Health Reference Lab, Punjab AIDS Control Program, Lahore	Provincial Public Health Reference Lab, Punjab AIDS Control Program, Lahore	Hasnain Javed et al
hCoV-19/India/MH-ICMR-NIV-INSACOG-GSEQ-9045/2022	EPI_ISL_9969198		ICMR-National Institute of Virology - INSACOG	NIV Influenza	Dr. Varsha Potdar et al
hCoV-19/Pakistan/PB-PPHRL-PACP-160/2022	EPI_ISL_14856458		Provincial Public Health Reference Lab, Punjab AIDS Control Program, Lahore	Provincial Public Health Reference Lab, Punjab AIDS Control Program, Lahore	Hasnain Javed et al
hCoV-19/Pakistan/NIH-B35-S12/2022	EPI_ISL_9651663		Department of Virology	Department of Virology	Massab Umair et al
hCoV-19/Guangdong/IVDC-12-01/2021	EPI_ISL_8207301		Guangdong Center for Disease Control and Prevention	National Institute for Viral Disease Control and Prevention, China CDC	Qianfang Guo et al
hCoV-19/France/PDL-HMN-22042150289/2022	EPI_ISL_12495420		LA ROCHE/ YON Biorylis	Department of Virology, Henri Mondor University Hospital, Assistance Publique Hôpitaux de Paris, Université Paris-Est Créteil, INSERM U955	Christophe Rodriguez et al
hCoV-19/France/ARA-HMN-22052130393/2022	EPI_ISL_12960763		STMARTINS ORIADE	Department of Virology, Henri Mondor University Hospital, Assistance Publique Hôpitaux de Paris, Université Paris-Est Créteil, INSERM U955	Christophe Rodriguez et al
hCoV-19/Syria/Northwest-00173/2022	EPI_ISL_10875754		EWARN's Lab	Ministry of Health Turkey	Yasir Elferruh et al
hCoV-19/India/DL-ILBS-WGS5028/2022	EPI_ISL_12752672		ADVANCED GENOMICS INSTITUTE AND LABORATORY MEDICINE	ILBS/INSACOG	Ekta Gupta et al
hCoV-19/India/TN-ICMR-NIRT-INSACOG-W53/2022	EPI_ISL_14440967		ICMR-National Institute for Research in Tuberculosis (NIRT)1, State Public Health Laboratory (SPHL)2	NIV Influenza	Ramalingam Bethunaickan1 et al
hCoV-19/Indonesia/JT-Labkes-32EM/2022	EPI_ISL_10952169		RSUD BREBES	Balai Labkes PAK Prov Jateng	Yekti Hediningsih et al
hCoV-19/India/TG-GMCH-ICMR-INSACOG-2182/2022	EPI_ISL_13307928		Gandhi Medical College and Hospital (GMCH), Secunderabad	NIV Influenza	Dr.K.Nagamani et al
hCoV-19/Algeria/14387/2022	EPI_ISL_10752637		NIC, Viral Respiratory Unit	Virology Departement	Fayez Khardine et al
hCoV-19/India/MH-MCGM-ICMR-INSACOG-WG2941/2022	EPI_ISL_11323669		Kasturba Hospital Molecular Lab	Kasturba hospital WGS	Jayanthi Shastri et al
hCoV-19/Philippines/PH-PGC-103812/2021	EPI_ISL_9323290		UP-PGH	Philippine Genome Center	Cynthia P. Saloma et al
hCoV-19/Philippines/PH-PGC-113130/2022	EPI_ISL_13169156		BAGUIO GENERAL HOSPITAL AND MEDICAL CENTER	Philippine Genome Center	Cynthia P. Saloma et al
hCoV-19/Philippines/PH-PGC-113211/2022	EPI_ISL_13169110		SOUTHERN PHILIPPINES MEDICAL CENTER	Philippine Genome Center	Cynthia P. Saloma et al
hCoV-19/Myanmar/DSMRC-066/2022	EPI_ISL_8920501		DSMRC	Defence Services Medical Research Centre (DSMRC)	Khine Zaw Oo et al
hCoV-19/Philippines/PH-PGC-113117/2022	EPI_ISL_13170750		CARAGA REGIONAL HOSPITAL	Philippine Genome Center	Cynthia P. Saloma et al
hCoV-19/Philippines/PH-PGC-112215/2022	EPI_ISL_13171245		ZAMBOANGA CITY MEDICAL CENTER - DA SATELLITE LAB	Philippine Genome Center	Cynthia P. Saloma et al
hCoV-19/Brazil/SP-IB_160300/2022	EPI_ISL_13576879		INSTITUTO BUTANTAN	Instituto Butantan	Dimas Tadeu Covas et al
hCoV-19/Philippines/PH-PGC-113119/2022	EPI_ISL_13169192		CARAGA REGIONAL HOSPITAL	Philippine Genome Center	Cynthia P. Saloma et al
hCoV-19/Indonesia/JK-CW62-0969/2022	EPI_ISL_13363980		Labkesda DKI	National Quality Control Laboratory of Drug and Food	Nurul Azizah et al
hCoV-19/India/MH-KasturbaMCGM-ICMR-INSACOG-WG3991/2022	EPI_ISL_13306862		Kasturba Hospital Molecular Lab	NIV Influenza	Jayanthi Shastri et al
hCoV-19/PapuaNewGuinea/PNG7796/2022	EPI_ISL_11361136		Central Public Health Laboratory	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Kumbu et al
hCoV-19/SouthKorea/KDCA40201/2022	EPI_ISL_12634323		Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Jeong-Ah Kim et al
hCoV-19/SouthKorea/KDCA32473/2022	EPI_ISL_11405107		Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Jeong-Ah Kim et al
hCoV-19/Ghana/WACCBIP-GS2988/2022	EPI_ISL_13392339		WACCBIP, University of Ghana	WACCBIP, University of Ghana	Collins M. Morang'a et al
hCoV-19/Vietnam/NHTD-OUCRU2459/2022	EPI_ISL_12305088		National Hospital for Tropical Diseases	Oxford University Clinical Research Unit, Hanoi, Vietnam	Pham Ngoc Thach et al
hCoV-19/Netherlands/NB-PAMM-C17-0989/2022	EPI_ISL_11458233		PAMM	Laboratory of Medical Microbiology and Pathology, PAMM	Jeroen van de Bovenkamp et al
hCoV-19/Beijing/BJCDC-1894/2022	EPI_ISL_16634010		Beijing Center for Disease Control and Prevention	Beijing Center for Disease Control and Prevention	Shujuan Cui et al
hCoV-19/Beijing/BJCDC-1778/2022	EPI_ISL_16614697		Beijing Center for Disease Control and Prevention	Beijing Center for Disease Control and Prevention	Yang Pan et al
hCoV-19/Vietnam/PIHCM_713/2022	EPI_ISL_11058623		Pasteur Institute in Ho Chi Minh city	Department of Microbiology and Immunology	Dao Hoang Thi Nhu et al
hCoV-19/USA/ME-CDC-ASC210738850/2022	EPI_ISL_11759439	ON145373.1	Aegis Sciences Corporation	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/PapuaNewGuinea/PNG8268/2022	EPI_ISL_16534368		Central Public Health Laboratory	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL), The Peter Doherty Institute for Infection and Immunity	Kumbu et al
hCoV-19/Libya/79742-96/2022	EPI_ISL_13505286		Reference Lab for Public Health, NCDC	Reference Lab for Public Health, NCDC	Abdulla Bashein et al
hCoV-19/Indonesia/SS-NIHRD-WGS.22.04415/2022	EPI_ISL_12544547		BBLK Palembang (RSUD Muara Enim)	National Institute of Health Research and Development	Hartanti Dian Ikawati et al
hCoV-19/Vietnam/NHTD-OUCRU3001/2022	EPI_ISL_13358757		National Hospital for Tropical Diseases	Oxford University Clinical Research Unit, Hanoi, Vietnam	Pham Ngoc Thach et al
hCoV-19/Indonesia/JK-CW62-0861/2022	EPI_ISL_13211357		Labkesda DKI	National Quality Control Laboratory of Drug and Food	Diana TW. et al
hCoV-19/Japan/PG-265438/2022	EPI_ISL_14123321		Pathogen Genomics Center, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al B
hCoV-19/Philippines/PGCV_0014_0438/2022	EPI_ISL_13131968		WESTERN VISAYAS MEDICAL CENTER SUB NATIONAL LABORATORY	PHILIPPINE GENOME CENTER VISAYAS	Dr. Cynthia P. Saloma et al
hCoV-19/India/TG-GMCH-ICMR-INSACOG-2056/2022	EPI_ISL_13305201		Gandhi Medical College and Hospital (GMCH), Secunderabad	NIV Influenza	Dr.K.Nagamani et al
hCoV-19/Philippines/PGCV_0040_4238/2022	EPI_ISL_16995149		Western Visayas Medical Center Sub National Laboratory	PHILIPPINE GENOME CENTER VISAYAS	Dr. Cynthia P. Saloma et al
hCoV-19/USA/CA-CDPH-500088562/2022	EPI_ISL_17055020		Tidewater Physicians Multispecialty Group Regional Laboratory	California Department of Public Health	Emily A. Smith et al.
hCoV-19/Philippines/PH-RITM-3779/2022	EPI_ISL_16549156		ILOCOS TRAINING AND REGIONAL MEDICAL CENTER	Research Institute for Tropical Medicine	Francisco Gerardo M. Polotan et al
hCoV-19/Philippines/PGCV_0058_5262/2023	EPI_ISL_17796573		Western Visayas Medical Center	PHILIPPINE GENOME CENTER VISAYAS	Dr. Cynthia P. Saloma et al
hCoV-19/Philippines/PH-VUI-147936/2023	EPI_ISL_17343828		Southern Philippines Medical Center	Philippine Genome Center Mindanao	Joel Hassan G. Tolentino et al
hCoV-19/Philippines/PH-VUI-148063/2023	EPI_ISL_17343914		Southern Philippines Medical Center	Philippine Genome Center Mindanao	Joel Hassan G. Tolentino et al
hCoV-19/Cambodia/22-2203074590/2022	EPI_ISL_11190095		Virology Unit, Institut Pasteur du Cambodge	Virology Unit, Institut Pasteur du Cambodge	Leakhena Pum et al
hCoV-19/India/OR-ILSGS13494/2022	EPI_ISL_10431897		FMFMCH, Balasore	Institute of Life Sciences-INSACOG	Sunil K. Raghav et al
hCoV-19/India/TG-CDFD-81664/2022	EPI_ISL_10805877		District Hospital	INSACOG, Centre for DNA Fingerprinting and Diagnostics	Asmita Gupta et al
hCoV-19/India/TN-CDFD-W3-200/2022	EPI_ISL_10928174		Directorate Of Public Health And Preventive Medicine	INSACOG-Centre for DNA Fingerprinting and Diagnostics	Asmita Gupta et al
hCoV-19/India/JH-ILSGS14414/2022	EPI_ISL_10433578		ILS, Bhubaneswar	Institute of Life Sciences-INSACOG	Sunil K. Raghav et al
hCoV-19/Bangladesh/icddrb-GAC2-356/2022	EPI_ISL_12918596		Virology Laboratory, International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDR,B)	Virology Laboratory, International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDR,B)	Mohammad Jubair et al
hCoV-19/India/WB-INSACOG-1931502793993/2022	EPI_ISL_9721213		INSACOG-WB	National Institute of Biomedical Genomics – INSACOG	Arindam Maitra et al
hCoV-19/India/AP-CCMB-CIC4509/2022	EPI_ISL_10989850		AP SSO	CSIR-Centre for Cellular and Molecular Biology-INSACOG	Ara Sreenivas et al
hCoV-19/India/TG-RFCH05138_CIC9350/2022	EPI_ISL_12792099		MapMyGenome	CSIR-Centre for Cellular and Molecular Biology	Tulasi Nagabandi et al B
hCoV-19/Thailand/DMSc-09565/2022	EPI_ISL_12651142		Phetchabun Hospital	Medical Genomic Centre,Medical Life Sciences Institute,Department of Medical Sciences, Ministry of Public Health, Thailand	Surakameth Mahasirimongkol et al
hCoV-19/Myanmar/DSMRC-093/2022	EPI_ISL_11149617	ON038766.1	DSMRC	Defence Services Medical Research Centre (DSMRC)	Khine Zaw Oo et al
hCoV-19/India/GJ-INSACOG-GBRC5656/2022	EPI_ISL_10748955		Government Medical College, Surat	Gujarat Biotechnology Research Centre	Bhadreshsinh Gohil et al
hCoV-19/India/KA-INSACOG-CBR-0902MURT036/2022	EPI_ISL_14678660		CBR,IISc	CBR,IISc	Bratati Kahali et al
hCoV-19/Indonesia/JT-Labkes-92HA/2022	EPI_ISL_11900230		RS ST ELISABETH	Balai Labkes PAK Prov Jateng	Yekti Hediningsih et al
hCoV-19/Japan/PG-249596/2022	EPI_ISL_13213097		Sendai City Institute of Public Health	Sendai City Institute of Public Health	Youko Kano et al
hCoV-19/India/GJ-INSACOG-GBRC6748/2022	EPI_ISL_12155052		GMERS Medical College, Gandhinagar	Gujarat Biotechnology Research Centre	Zarna Patel et al
hCoV-19/Thailand/DMSc-10368/2022	EPI_ISL_12980780		Ban Fang Hospital	Medical Genomic Centre,Medical Life Sciences Institute,Department of Medical Sciences, Ministry of Public Health, Thailand	Surakameth Mahasirimongkol et al
hCoV-19/India/KA-SLS-31084/2022	EPI_ISL_11790036			Strand Life Sciences (supported by IN COVID Support, FZE LLC)	Anson Kunjumon George et al
hCoV-19/India/MH-KasturbaMCGM-ICMR-INSACOG-WG3449/2022	EPI_ISL_11664576		Kasturba Hospital Molecular Lab	NIV Influenza	Jayanthi Shastri et al
